method,algorithm,k,seed_1,seed_2,ARI,NMI
PCA,GMM,6,3627,1311,1.0,1.0000000000000002
PCA,GMM,6,3881,3812,1.0,1.0
PCA,GMM,6,3881,3255,1.0,1.0
PCA,GMM,6,3881,1311,1.0,1.0
PCA,GMM,6,3812,3255,1.0,1.0
PCA,GMM,6,3812,1311,1.0,1.0
PCA,GMM,6,3255,1311,1.0,1.0000000000000002
PCA,Agglomerative,6,4861,9153,1.0,1.0
PCA,Agglomerative,6,4861,9361,1.0,1.0
PCA,Agglomerative,6,4861,8095,1.0,1.0
PCA,Agglomerative,6,4861,9496,1.0,1.0
PCA,Agglomerative,6,4861,1238,1.0,1.0
PCA,Agglomerative,6,4861,5793,1.0,1.0
PCA,Agglomerative,6,4861,2407,1.0,1.0
PCA,Agglomerative,6,4861,4911,1.0,1.0
PCA,Agglomerative,6,4861,5361,1.0,1.0
PCA,Agglomerative,6,9153,9361,1.0,1.0
PCA,Agglomerative,6,9153,8095,1.0,1.0
PCA,Agglomerative,6,9153,9496,1.0,1.0
PCA,Agglomerative,6,9153,1238,1.0,1.0
PCA,Agglomerative,6,9153,5793,1.0,1.0
PCA,Agglomerative,6,9153,2407,1.0,1.0
PCA,Agglomerative,6,9153,4911,1.0,1.0
PCA,Agglomerative,6,9153,5361,1.0,1.0
PCA,Agglomerative,6,9361,8095,1.0,1.0
PCA,Agglomerative,6,9361,9496,1.0,1.0
PCA,Agglomerative,6,9361,1238,1.0,1.0
PCA,Agglomerative,6,9361,5793,1.0,1.0
PCA,Agglomerative,6,9361,2407,1.0,1.0
PCA,Agglomerative,6,9361,4911,1.0,1.0
PCA,Agglomerative,6,9361,5361,1.0,1.0
PCA,Agglomerative,6,8095,9496,1.0,1.0
PCA,Agglomerative,6,8095,1238,1.0,1.0
PCA,Agglomerative,6,8095,5793,1.0,1.0
PCA,Agglomerative,6,8095,2407,1.0,1.0
PCA,Agglomerative,6,8095,4911,1.0,1.0
PCA,Agglomerative,6,8095,5361,1.0,1.0
PCA,Agglomerative,6,9496,1238,1.0,1.0
PCA,Agglomerative,6,9496,5793,1.0,1.0
PCA,Agglomerative,6,9496,2407,1.0,1.0
PCA,Agglomerative,6,9496,4911,1.0,1.0
PCA,Agglomerative,6,9496,5361,1.0,1.0
PCA,Agglomerative,6,1238,5793,1.0,1.0
PCA,Agglomerative,6,1238,2407,1.0,1.0
PCA,Agglomerative,6,1238,4911,1.0,1.0
PCA,Agglomerative,6,1238,5361,1.0,1.0
PCA,Agglomerative,6,5793,2407,1.0,1.0
PCA,Agglomerative,6,5793,4911,1.0,1.0
PCA,Agglomerative,6,5793,5361,1.0,1.0
PCA,Agglomerative,6,2407,4911,1.0,1.0
PCA,Agglomerative,6,2407,5361,1.0,1.0
PCA,Agglomerative,6,4911,5361,1.0,1.0
PCA,Spectral,6,7923,8095,1.0,1.0
PCA,Spectral,6,7923,3847,1.0,1.0
PCA,Spectral,6,7923,9213,1.0,1.0
PCA,Spectral,6,7923,7368,1.0,1.0
PCA,Spectral,6,7923,3016,1.0,1.0
